course_id,title,provider,mapped_skill,cost,duration_hours,difficulty,source_url,description_preview,skill_id,relevance_score
1,"""Person-of-the-Therapist"" (POTT) Online Training (Synchronous e-learning)",SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,APIs,450.0,31.0,Unspecified,,"This 'Person-of-the-Therapist' (POTT) training model is designed for practicing counsellors, psychologists, systemic therapists, social workers involved in counselling work, as well as trainee counsellors to assist them to draw on their inner experience and resources for the active and purposeful us",17,0
2,"(SCTP Module) Wellness and Lifestyle Management (Classroom, Synchronous and Asynchronous)",Republic Polytechnic,APIs,300.0,35.0,Unspecified,,"This course provides a comprehensive overview of the wellness industry, guiding learners through the various sectors, and trends shaping the future of wellness. _x000D_",17,0
3,(SCTP) Advanced Certificate in iOS App Development with Swift Programming,SINGAPORE MANAGEMENT UNIVERSITY,APIs,5400.0,120.0,Advanced,,"At the end of the 120-hour programme, participants will be able to:_x000D_ - Demonstrate coding proficiency using Swift programming language._x000D_ - Understand the industry best practices for iOS apps design._x000D_ - Demonstrate the usage of diverse User Interface (UI) elements and layout techniq",17,0
4,(SCTP) Computational Design (Built Environment),Building and Construction Authority,APIs,2985.0,585.0,Unspecified,,The SkillsFuture Career Transition Programmes (SCTP) â€“ Built Environment (BE) series are train-and-place programmes specially curated to equip participants with industry-relevant knowledge and skills to thrive in the rapidly evolving built environment sector._x000D_ _x000D_ The SCTP-Built Environm,17,0
5,(SCTP) Higher Certificate in Food Services (Pastry & Baking) Part-time,Asian Culinary Institute of Singapore,APIs,1962.0,170.0,Beginner,,"At the end of the programme, learners will be able to:_x000D_ â€¢	Produce a variety of Malay desserts using various cooking and baking techniques_x000D_ â€¢	Demonstrate and apply the fundamental bread-making techniques such as kneading, rounding shaping and baking it to the standards required in the",17,0
6,(SCTP) Smart and Sustainable Facility Management,Building and Construction Authority,APIs,3105.0,692.0,Unspecified,,The SkillsFuture Career Transition Programmes (SCTP) â€“ Built Environment (BE) series are train-and-place programmes specially curated to equip participants with industry-relevant knowledge and skills to thrive in the rapidly evolving built environment sector._x000D_ _x000D_ The SCTP-Built Environm,17,0
7,(SCTP) Sustainable Design (Built Environment),Building and Construction Authority,APIs,5895.0,703.0,Unspecified,,The SkillsFuture Career Transition Programmes (SCTP) â€“ Built Environment (BE) series are train-and-place programmes specially curated to equip participants with industry-relevant knowledge and skills to thrive in the rapidly evolving built environment sector._x000D_ _x000D_ The SCTP-Built Environm,17,0
8,(eCornell) Asset Management Toolkit,GENASHTIM,APIs,700.0,12.0,Unspecified,,"In this course, you will examine the analytical tools asset managers use to perform critical analyses. You will conduct both a competitive analysis and a SWOT analysis on your property. You will explore benchmarking practices and financial analyses to identify deviations from expected performance. Y",17,0
9,(eCornell) Brand Strategy,GENASHTIM,APIs,700.0,12.0,Unspecified,,"In this course, you will focus on how to optimize a brand's strategy approach to the market. By identifying opportunities and threats to a brand using Porter's Five Forces model, you will analyze how you can strengthen a brand's position. You will then take this analysis a step further with ï¿½Z-SWO",17,0
10,(eCornell) Building Your Market Advantage,GENASHTIM,APIs,700.0,12.0,Unspecified,,"Your business model is the organizational arrangement that allows your 5G innovation to thrive in the technological and business ecosystem. First you will articulate the value proposition of your offering: who benefits from the product and how. Next you will design your intended revenue mechanism, t",17,0
11,(eCornell) Finding and Managing Talent Through Social Media,GENASHTIM,APIs,700.0,12.0,Intermediate,,"In this course, you will explore how to effectively attract and retain talent by creating a powerful employment brand that resonates with different parts of the workforce, and theory on effective selection of employees based on concepts of job and organizational fit. Through the business school appr",17,0
12,(eCornell) Generating Profit in a Sustainability Era,GENASHTIM,APIs,1000.0,15.0,Unspecified,,"In this course, you will explore how values-informed purchasing and investment decisions, along with generational shifts in investment and consumption patterns, create opportunities for companies that adapt to trends in sustainability. You will also examine ways in which regulatory changes, growing",17,0
13,(eCornell) Getting the Most Out of Your Business Relationships,GENASHTIM,APIs,700.0,12.0,Unspecified,,"In this course, you will evaluate the state of your business relationships through a comprehensive assessment process. Your analysis will enable you to gain a clearer understanding of each relationship's importance to your value creation efforts and how your organization would be affected if the rel",17,0
14,(eCornell) Human-Centered Design Essentials,GENASHTIM,APIs,1000.0,15.0,Unspecified,,"Human-computer interfaces have become a part of everyday life, whether we consider technology that we use at home or at work. People rely on technology to help them achieve a goal or solve a problem, and this idea is central to the emerging and rapidly expanding field of human-centered design: Who i",17,0
15,(eCornell) Leading Without Authority,GENASHTIM,APIs,700.0,12.0,Unspecified,,"In this course, you will explore several different strategies to help motivate and lead people. Initially, you will distinguish between factors that increase job satisfaction and factors that decrease job dissatisfaction, as research shows these are not always connected. You will also design strateg",17,0
